# columns = TERM LEMMA POS PROB
# identifier = balzac1842FC54
# creator = Balzac, Honoré de
# created = 1842
# modified = 1846
# title = Un épisode sous la Terreur. Études de mœurs. Scènes de la vie politique

↵↵	↵↵	PUNCTstruct
Le	le	DET
22	22	NUM
janvier	janvier	NOUN
1793	1793	NUM
,	,	PUNCTclause
vers	vers	ADP
huit	huit	NUM
heures	heure	NOUN
du	du	ADP_DET
soir	soir	NOUN
,	,	PUNCTclause
une	un	DET
vieille dame	vieille dame	NOUN
descendait	descendre	VERB
,	,	PUNCTclause
à	à	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
l'	le	DET
éminence	éminence	NOUN
rapide	rapide	ADJ
qui	qui	PRON
finit	finir	VERB
devant	devant	ADP
l'	le:PRON	PRON
église	église	NOUN
Saint-Laurent	Saint-Laurent	PROPN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
faubourg	faubourg	NOUN
Saint-Martin	Saint-Martin	PROPN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
tant	tant	ADV
neigé	neiger	VERB
pendant	pendant	ADP
toute	tout	ADJ
la	le	DET
journée	journée	NOUN
,	,	PUNCTclause
que	que	SCONJ
les	le	DET
pas	pas	NOUN
se	se	PRON
entendaient	entendre	VERB
à peine	à peine	ADV
.	.	PUNCTsent
Les	le	DET
rues	rue	NOUN
étaient	être	AUX
désertes	désert	ADJ
.	.	PUNCTsent
La	le	DET
crainte	crainte	NOUN
assez	assez	ADV
naturelle	naturel	ADJ
que	que	SCONJ
inspirait	inspirer	VERB
le	le	DET
silence	silence	NOUN
se	se	PRON
augmentait	augmenter	VERB
de	de	ADP
toute	tout	ADJ
la	le	DET
terreur	terreur	NOUN
qui	qui	PRON
faisait	faire	VERB
alors	alors	ADV
gémir	gémir	VERB
la	le	DET
France	France	PROPN
;	;	PUNCTclause
aussi	aussi	ADV
la	le	DET
vieille dame	vieille dame	NOUN
ne	ne	ADV
avait	avoir	AUX
elle	elle	PRON
encore	encore	ADV
rencontré	rencontrer	VERB
personne	personne	NOUN
;	;	PUNCTclause
sa	son	DET
