# columns = TERM LEMMA POS PROB
# identifier = dumas1844e-09
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Les frères Corses
# title = IX

↵↵↵	↵↵↵	PUNCTstruct
IX	IX	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
sortîmes	sortir	VERB
des	un	DET
ruines	ruine	NOUN
par	par	ADP
le	le	DET
côté	côté	NOUN
opposé	opposé	ADJ
où	où	PRON
nous	nous	PRON
étions	être	AUX
entrés	entrer	VERB
,	,	PUNCTclause
Lucien	Lucien	PROPN
marchant	marcher	VERB
le	le	DET
premier	premier	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
au moment où	au moment où	ADP
nous	nous	PRON
mettions	mettre	VERB
le	le	DET
pied	pied	NOUN
dans	dans	ADP
le	le	DET
maquis	maquis	NOUN
,	,	PUNCTclause
le	le	DET
faisan	faisan	NOUN
,	,	PUNCTclause
se	se	PRON
dénonçant	dénoncer	VERB
lui-même	lui-même	PRON
,	,	PUNCTclause
se	se	PRON
mit	mettre	VERB
à	à	ADP
coqueter	coqueter	VERB
de nouveau	de nouveau	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
à	à	ADP
quatre-vingts	quatre-vingts	NUM
pas	pas	ADV
de	de	ADP
nous	nous	PRON
,	,	PUNCTclause
à peu près	à peu près	ADV
,	,	PUNCTclause
caché	cacher	VERB
dans	dans	ADP
les	le	DET
branches	branche	NOUN
de	de	ADP
un	un	DET
châtaignier	châtaignier	NOUN
dont	dont	PRON
l'	le	DET
approche	approche	NOUN
était	être	AUX
de	de	ADP
tous	tout	ADJ
côtés	côté	NOUN
défendue	défendre	VERB
par	par	ADP
un	un	DET
épais	épais	ADJ
maquis	maquis	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
arriverez	arriver	VERB
vous	vous	PRON
à	à	ADP
lui	lui	PRON
sans que	sans que	SCONJ
il	il	PRON
vous	vous	PRON
entende	entendre	VERB
?	?	PUNCTsent
demandai	demander	VERB
je	je	PRON
à	à	ADP
Lucien	Lucien	PROPN
.	.	PUNCTsent
Cela	cela	PRON
ne	ne	ADV
me	me	PRON
paraît	paraître	VERB
pas	pas	ADV
facile	facile	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
me	me	PRON
répondit	répondre	VERB
il	il	PRON
;	;	PUNCTclause
si	si	SCONJ
je	je	PRON
pouvais	pouvoir	VERB
seulement	seulement	ADV
le	le	DET
voir	voir	VERB
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
tirerais	tirer	VERB
d'ici	d'ici	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
d'ici	d'ici	ADV
?	?	PUNCTsent
Avez	avoir	AUX
vous	vous	PRON
un	un	DET
fusil	fusil	NOUN
qui	qui	PRON
tue	tuer	VERB
les	le	DET
faisans	faisan	NOUN
à	à	ADP
quatre-vingts	quatre-vingts	NUM
pas	pas	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
plomb	plomb	NOUN
,	,	PUNCTclause
non	non	ADV
;	;	PUNCTclause
à	à	ADP
balle	balle	NOUN
,	,	PUNCTclause
oui	oui	INTJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
à	à	ADP
balle	balle	NOUN
,	,	PUNCTclause
ne	ne	ADV
en	en	PRON
parlons	parler	VERB
plus	plus	ADV
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
autre chose	autre chose	NOUN
;	;	PUNCTclause
et	et	CCONJ
vous	vous	PRON
avez	avoir	AUX
bien	bien	ADV
fait	faire	VERB
de	de	ADP
vous	vous	PRON
charger	charger	VERB
du	du	ADP_DET
coup	coup	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voulez	vouloir	VERB
vous	vous	PRON
le	le:PRON	PRON
voir	voir	VERB
?	?	PUNCTsent
demanda	demander	VERB
Orlandi	Orlandi	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
dit	dire	VERB
Lucien	Lucien	PROPN
,	,	PUNCTclause
je	je	PRON
avoue	avouer	VERB
que	que	SCONJ
cela	cela	PRON
me	me	PRON
ferait	faire	VERB
plaisir	plaisir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Attendez	attendre	VERB
,	,	PUNCTclause
alors	alors	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
Orlandi	Orlandi	PROPN
se	se	PRON
mit	mettre	VERB
à	à	ADP
imiter	imiter	VERB
le	le	DET
gloussement	gloussement	NOUN
de	de	ADP
la	le	DET
poule	poule	NOUN
faisane	faisan	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
même	même	ADV
instant	instant	NOUN
,	,	PUNCTclause
sans	sans	ADP
apercevoir	apercevoir	VERB
le	le	DET
faisan	faisan	NOUN
,	,	PUNCTclause
nous	nous	PRON
vîmes	voir	VERB
un	un	DET
mouvement	mouvement	NOUN
dans	dans	ADP
les	le	DET
feuilles	feuille	NOUN
du	du	ADP_DET
châtaignier	châtaignier	NOUN
;	;	PUNCTclause
le	le	DET
faisan	faisan	NOUN
montait	monter	VERB
de	de	ADP
branche	branche	NOUN
en	en	ADP
branche	branche	NOUN
,	,	PUNCTclause
tout	tout	PRON
en	en	ADP
répondant	répondre	VERB
par	par	ADP
son	son	DET
coquetage	coquetage	NOUN
aux	au	ADP_DET
avances	avance	NOUN
que	que	PRON
lui	lui	PRON
faisait	faire	AUX
Orlandi	Orlandi	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Enfin	enfin	ADV
,	,	PUNCTclause
il	il	PRON
parut	paraître	VERB
à	à	ADP
la	le	DET
cime	cime	NOUN
de	de	ADP
l'	le	DET
arbre	arbre	NOUN
parfaitement	parfaitement	ADV
visible	visible	ADJ
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
détachant	détacher	VERB
en vigueur	en vigueur	ADV
sur	sur	ADP
le	le	DET
blanc	blanc	NOUN
mat	mat	ADJ
du	du	ADP_DET
ciel	ciel	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Orlandi	Orlandi	PROPN
se	se	PRON
tut	taire	VERB
et	et	CCONJ
le	le	DET
faisan	faisan	NOUN
demeura	demeurer	VERB
immobile	immobile	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
même	même	ADV
instant	instant	NOUN
,	,	PUNCTclause
Lucien	Lucien	PROPN
abaissa	abaisser	VERB
son	son	DET
fusil	fusil	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
ajusté	ajuster	VERB
une	un	DET
seconde	second	ADJ
,	,	PUNCTclause
lâcha	lâcher	VERB
le	le	DET
coup	coup	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
faisan	faisan	NOUN
tomba	tomber	VERB
comme	comme	ADP
une	un	DET
pelote	pelote	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Va	aller	VERB
chercher	chercher	VERB
!	!	PUNCTsent
dit	dire	VERB
Lucien	Lucien	PROPN
à	à	ADP
Diamante	Diamante	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
chien	chien	NOUN
se	se	PRON
élança	élancer	VERB
dans	dans	ADP
le	le	DET
maquis	maquis	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
cinq	cinq	NUM
minutes	minute	NOUN
après	après	ADV
,	,	PUNCTclause
revint	revenir	VERB
le	le	DET
faisan	faisan	NOUN
dans	dans	ADP
la	le	DET
gueule	gueule	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
balle	balle	NOUN
avait	avoir	AUX
traversé	traverser	VERB
le	le	DET
corps	corps	NOUN
de	de	ADP
celui	celui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voilà	voilà	ADP
un	un	DET
beau	beau	ADJ
coup	coup	NOUN
,	,	PUNCTclause
dis	dire	VERB
je	je	PRON
,	,	PUNCTclause
et	et	CCONJ
dont	dont	PRON
je	je	PRON
vous	vous	PRON
fais	faire	VERB
mon	mon	DET
compliment	compliment	NOUN
,	,	PUNCTclause
surtout	surtout	ADV
avec	avec	ADP
un	un	DET
fusil	fusil	NOUN
double	double	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
dit	dire	VERB
Lucien	Lucien	PROPN
,	,	PUNCTclause
il y a	il y a	VERB
moins	moins	ADV
de	de	ADP
mérite	mérite	NOUN
à	à	ADP
ce	ce	DET
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
fait	faire	VERB
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
le	le:PRON	PRON
pensez	penser	VERB
;	;	PUNCTclause
un	un	DET
