# columns = TERM LEMMA POS
# identifier = balzac1839FC24
# creator = Balzac, Honoré de
# created = 1839
# modified = 1844
# title = Pierre Grassou. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
toutes les fois que	toutes les fois que	SCONJ
vous	vous	PRON
êtes	être	AUX
sérieusement	sérieusement	ADV
allé	aller	VERB
voir	voir	VERB
l'	le	DET
Exposition	exposition	NOUN
des	un	ADP_DET
ouvrages	ouvrage	NOUN
de	de	ADP
sculpture	sculpture	NOUN
et	et	CCONJ
de	de	ADP
peinture	peinture	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
elle	elle	PRON
a	avoir	VERB
lieu	lieu	NOUN
depuis	depuis	ADP
la	le	DET
Révolution	Révolution	PROPN
de	de	ADP
1830	1830	NUM
,	,	PUNCTclause
ne	ne	ADV
avez	avoir	AUX
vous	vous	PRON
pas	pas	ADV
été	être	AUX
pris	prendre	VERB
de	de	ADP
un	un	DET
sentiment	sentiment	NOUN
de	de	ADP
inquiétude	inquiétude	NOUN
,	,	PUNCTclause
de	de	ADP
ennui	ennui	NOUN
,	,	PUNCTclause
de	de	ADP
tristesse	tristesse	NOUN
,	,	PUNCTclause
à	à	ADP
l'	le	DET
aspect	aspect	NOUN
des	un	ADP_DET
longues	long	ADJ
galeries	galerie	NOUN
encombrées	encombré	ADJ
?	?	PUNCTsent
Depuis	depuis	ADP
1830	1830	NUM
,	,	PUNCTclause
le	le	DET
Salon	Salon	PROPN
ne	ne	ADV
existe	exister	VERB
plus	plus	ADV
.	.	PUNCTsent
Une	un	DET
seconde	second	ADJ
fois	fois	NOUN
,	,	PUNCTclause
le	le	DET
Louvre	Louvre	PROPN
a	avoir	AUX
été	être	AUX
pris	prendre	VERB
de	de	ADP
assaut	assaut	NOUN
par	par	ADP
le	le	DET
peuple	peuple	NOUN
des	un	ADP_DET
artistes	artiste	NOUN
qui	qui	PRON
se	se	PRON
y	y	PRON
est	être	AUX
maintenu	maintenir	VERB
.	.	PUNCTsent
En	en	ADP
offrant	offrir	VERB
autrefois	autrefois	ADV
l'	le	DET
élite	élite	NOUN
des	un	ADP_DET
œuvres d'art	œuvres d'art	NOUN
,	,	PUNCTclause
le	le	DET
Salon	Salon	PROPN
emportait	emporter	VERB
les	le	DET
plus	plus	ADV
grands	grand	ADJ
honneurs	honneur	NOUN
pour	pour	ADP
les	le	DET
créations	création	NOUN
qui	qui	PRON
y	y	PRON
étaient	être	AUX
exposées	exposer	VERB
.	.	PUNCTsent
Parmi	parmi	ADP
les	le	DET
deux	deux	NUM
cents	cents	NUM
tableaux	tableau	NOUN
choisis	choisir	VERB
,	,	PUNCTclause
le	le	DET
public	public	NOUN
choisissait	choisir	VERB
encore	encore	ADV
:	:	PUNCTclause
une	un	DET
couronne	couronne	NOUN
était	être	AUX
décernée	décerner	VERB
au	au	ADP_DET
chef-d'œuvre	chef-d'œuvre	NOUN
par	par	ADP
des	un	DET
mains	main	NOUN
inconnues	inconnu	ADJ
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
élevait	élever	VERB
des	un	ADP_DET
discussions	discussion	NOUN
passionnées	passionné	ADJ
