# columns = TERM LEMMA POS PROB
# identifier = balzac1834FC73
# creator = Balzac, Honoré de
# created = 1834
# modified = 1845
# title = Les Marana. Études philosophiques

↵↵	↵↵	PUNCTstruct
Malgré	malgré	ADP
la	le	DET
discipline	discipline	NOUN
que	que	SCONJ
le	le	DET
maréchal	maréchal	NOUN
Suchet	Suchet	PROPN
avait	avoir	AUX
introduite	introduire	VERB
dans	dans	ADP
son	son	DET
corps	corps	NOUN
de	de	ADP
armée	armée	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
put	pouvoir	VERB
empêcher	empêcher	VERB
un	un	DET
premier	premier	ADJ
moment	moment	NOUN
de	de	ADP
trouble	trouble	NOUN
et	et	CCONJ
de	de	ADP
désordre	désordre	NOUN
à	à	ADP
la	le	DET
prise	prise	NOUN
de	de	ADP
Tarragone	Tarragone	PROPN
.	.	PUNCTsent
Selon	selon	ADP
quelques	quelque	DET
militaires	militaire	NOUN
de	de	ADP
bonne foi	bonne foi	NOUN
,	,	PUNCTclause
cette	ce	DET
ivresse	ivresse	NOUN
de	de	ADP
la	le	DET
victoire	victoire	NOUN
ressembla	ressembler	VERB
singulièrement	singulièrement	ADV
à	à	ADP
un	un	DET
pillage	pillage	NOUN
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
maréchal	maréchal	NOUN
sut	savoir	VERB
d'ailleurs	d'ailleurs	ADV
promptement	promptement	ADV
réprimer	réprimer	VERB
.	.	PUNCTsent
l'	le	DET
ordre	ordre	NOUN
rétabli	rétablir	VERB
,	,	PUNCTclause
chaque	chaque	DET
régiment	régiment	NOUN
parqué	parquer	VERB
dans	dans	ADP
son	son	DET
quartier	quartier	NOUN
,	,	PUNCTclause
le	le	DET
commandant	commandant	NOUN
de	de	ADP
place	place	NOUN
nommé	nommer	VERB
,	,	PUNCTclause
vinrent	venir	VERB
les	le	DET
administrateurs	administrateur	NOUN
militaires	militaire	ADJ
.	.	PUNCTsent
La	le	DET
ville	ville	NOUN
prit	prendre	VERB
alors	alors	ADV
une	un	DET
physionomie	physionomie	NOUN
métisse	métis	ADJ
.	.	PUNCTsent
Si	si	SCONJ
l'on	on	PRON
y	y	PRON
organisa	organiser	VERB
tout	tout	ADV
à	à	ADP
la	le	DET
française	français	ADJ
,	,	PUNCTclause
on	on	PRON
laissa	laisser	VERB
les	le	DET
Espagnols	espagnol	NOUN
libres	libre	ADJ
de	de	ADP
persister	persister	VERB
,	,	PUNCTclause
in petto	in petto	ADV
,	,	PUNCTclause
dans	dans	ADP
leurs	leur	DET
goûts	goût	NOUN
nationaux	national	ADJ
.	.	PUNCTsent
Ce	ce	DET
premier	premier	ADJ
moment	moment	NOUN
de	de	ADP
pillage	pillage	NOUN
qui	qui	PRON
dura	durer	VERB
pendant	pendant	ADP
une	un	DET
période	période	NOUN
de	de	ADP
temps	temps	NOUN
assez	assez	ADV
difficile	difficile	ADJ
à	à	ADP
déterminer	déterminer	VERB
,	,	PUNCTclause
eut	avoir	VERB
,	,	PUNCTclause
comme	comme	ADP
tous	tous	DET
les	le	DET
événements	événement	NOUN
sublunaires	sublunaire	ADJ
,	,	PUNCTclause
une	un	DET
cause	cause	NOUN
facile	facile	ADJ
à	à	ADP
révéler	révéler	VERB
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
trouvait	trouver	VERB
à	à	ADP
l'	le	DET
armée	armée	NOUN
du	du	ADP_DET
maréchal	maréchal	NOUN
un	un	DET
régiment	régiment	NOUN
presque	presque	ADV
entièrement	entièrement	ADV
composé	composer	VERB
de	de	ADP
Italiens	Italiens	PROPN
,	,	PUNCTclause
et	et	CCONJ
commandé	commander	VERB
par	par	ADP
un	un	DET
certain	certain	ADJ
colonel	colonel	NOUN
Eugène	Eugène	PROPN
,	,	PUNCTclause
homme	homme	NOUN
de	de	ADP
une	un	DET
bravoure	bravoure	NOUN
extraordinaire	extraordinaire	ADJ
,	,	PUNCTclause
un	un	DET
second	second	ADJ
Murat	Murat	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
pour	pour	ADP
se	se	PRON
être	être	AUX
mis	mettre	VERB
trop	trop	ADV
tard	tard	ADV
en	en	ADP
guerre	guerre	NOUN
,	,	PUNCTclause
ne	ne	ADV
eut	avoir	VERB
ni	ni	CCONJ
grand-duché	grand-duché	NOUN
de	de	ADP
Berg	Berg	PROPN
,	,	PUNCTclause
ni	ni	CCONJ
royaume	royaume	NOUN
de	de	ADP
Naples	Naples	PROPN
,	,	PUNCTclause
ni	ni	CCONJ
balle	balle	NOUN
à	à	ADP
Pizzo	Pizzo	PROPN
.	.	PUNCTsent
si	si	SCONJ
il	il	PRON
ne	ne	ADV
obtint	obtenir	VERB
pas	pas	ADV
de	de	ADP
couronnes	couronne	NOUN
,	,	PUNCTclause
il	il	PRON
fut	être	AUX
très-bien	très-bien	ADV
placé	placer	VERB
pour	pour	ADP
obtenir	obtenir	VERB
des	un	DET
balles	balle	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
ne	ne	ADV
serait	être	AUX
pas	pas	ADV
étonnant	étonner	VERB
que	que	SCONJ
il	il	PRON
en	en	PRON
eût	avoir	AUX
rencontré	rencontrer	VERB
quelques-unes	quelques-unes	PRON
.	.	PUNCTsent
Ce	ce	DET
régiment	régiment	NOUN
avait	avoir	AUX
eu	avoir	VERB
pour	pour	ADP
éléments	élément	NOUN
les	le	DET
débris	débris	NOUN
de	de	ADP
la	le	DET
légion	légion	NOUN
italienne	italien	ADJ
.	.	PUNCTsent
Cette	ce	DET
légion	légion	NOUN
était	être	AUX
pour	pour	ADP
l'	le	DET
Italie	Italie	PROPN
ce	ce	PRON
que	que	PRON
sont	être	AUX
pour	pour	ADP
la	le	DET
France	France	PROPN
les	le	DET
bataillons	bataillon	NOUN
coloniaux	colonial	ADJ
.	.	PUNCTsent
Son	son	DET
dépôt	dépôt	NOUN
,	,	PUNCTclause
établi	établir	VERB
à	à	ADP
l'	le	DET
île	île	NOUN
de	de	ADP
Elbe	Elbe	PROPN
,	,	PUNCTclause
avait	avoir	AUX
servi	servir	VERB
à	à	ADP
déporter	déporter	VERB
honorablement	honorablement	ADV
et	et	CCONJ
les	le	DET
fils	fils	NOUN
de	de	ADP
famille	famille	NOUN
qui	qui	PRON
donnaient	donner	VERB
des	un	DET
craintes	crainte	NOUN
pour	pour	ADP
leur	leur	DET
avenir	avenir	NOUN
,	,	PUNCTclause
et	et	CCONJ
ces	ce	DET
grands	grand	ADJ
hommes	homme	NOUN
manqués	manquer	VERB
,	,	PUNCTclause
que	que	SCONJ
la	le	DET
société	société	NOUN
marque	marquer	VERB
de	de	ADP
avance	avance	NOUN
au	au	ADP_DET
fer	fer	NOUN
chaud	chaud	ADJ
,	,	PUNCTclause
en	en	ADP
les	le:PRON	PRON
appelant	appeler	VERB
des	un	DET
mauvais	mauvais	ADJ
sujets	sujet	NOUN
.	.	PUNCTsent
Tous	tout	ADJ
gens	gens	NOUN
incompris	incompris	ADJ
pour	pour	ADP
la plupart	la plupart	PRON
,	,	PUNCTclause
dont	dont	PRON
l'	le	DET
existence	existence	NOUN
peut	pouvoir	VERB
devenir	devenir	VERB
,	,	PUNCTclause
ou	ou	CCONJ
belle	beau	ADJ
au	au	ADP_DET
gré	gré	NOUN
de	de	ADP
un	un	DET
sourire	sourire	NOUN
de	de	ADP
femme	femme	NOUN
qui	qui	PRON
les	le:PRON	PRON
relève	relever	VERB
de	de	ADP
leur	leur	DET
brillante	brillant	ADJ
ornière	ornière	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
épouvantable	épouvantable	ADJ
à	à	ADP
la	le	DET
fin	fin	NOUN
de	de	ADP
une	un	DET
orgie	orgie	NOUN
,	,	PUNCTclause
sous	sous	ADP
l'	le	DET
influence	influence	NOUN
de	de	ADP
quelque	quelque	DET
méchante	méchant	ADJ
réflexion	réflexion	NOUN
échappée	échapper	VERB
à	à	ADP
leurs	leur	DET
compagnons	compagnon	NOUN
de	de	ADP
ivresse	ivresse	NOUN
.	.	PUNCTsent
Napoléon	Napoléon	PROPN
avait	avoir	AUX
donc	donc	ADV
incorporé	incorporer	VERB
ces	ce	DET
hommes	homme	NOUN
de	de	ADP
énergie	énergie	NOUN
dans	dans	ADP
le	le	DET
6	6	NUM
e	e	NOUN
de	de	ADP
ligne	ligne	NOUN
,	,	PUNCTclause
en	en	ADP
espérant	espérer	VERB
les	le	DET
métamorphoser	métamorphoser	VERB
presque	presque	ADV
tous	tous	PRON
en	en	ADP
généraux	général	NOUN
,	,	PUNCTclause
sauf	sauf	ADP
les	le	DET
déchets	déchet	NOUN
occasionnés	occasionner	VERB
par	par	ADP
le	le	DET
boulet	boulet	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
les	le	DET
calculs	calcul	NOUN
de	de	ADP
l'	le	DET
empereur	empereur	NOUN
ne	ne	ADV
furent	être	AUX
parfaitement	parfaitement	ADV
justes	juste	ADJ
que	que	SCONJ
relativement	relativement	ADV
aux	au	ADP_DET
ravages	ravage	NOUN
de	de	ADP
la	le	DET
mort	mort	NOUN
.	.	PUNCTsent
Ce	ce	DET
régiment	régiment	NOUN
,	,	PUNCTclause
souvent	souvent	ADV
décimé	décimer	VERB
,	,	PUNCTclause
toujours	toujours	ADV
le	le	DET
même	même	ADJ
,	,	PUNCTclause
acquit	acquérir	VERB
une	un	DET
grande	grand	ADJ
réputation	réputation	NOUN
de	de	ADP
valeur	valeur	NOUN
sur	sur	ADP
la	le	DET
scène	scène	NOUN
militaire	militaire	ADJ
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
plus	plus	ADV
détestable	détestable	ADJ
de	de	ADP
toutes	tout	ADJ
dans	dans	ADP
la	le	DET
vie privée	vie privée	NOUN
.	.	PUNCTsent
Au	au	ADP_DET
siège	siège	NOUN
de	de	ADP
Tarragone	Tarragone	PROPN
,	,	PUNCTclause
les	le	DET
Italiens	italien	NOUN
perdirent	perdre	VERB
leur	leur	DET
célèbre	célèbre	ADJ
capitaine	capitaine	NOUN
Bianchi	Bianchi	PROPN
,	,	PUNCTclause
le	le	DET
même	même	ADJ
qui	qui	PRON
,	,	PUNCTclause
pendant	pendant	ADP
la	le	DET
campagne	campagne	NOUN
,	,	PUNCTclause
avait	avoir	AUX
parié	parier	VERB
manger	manger	VERB
le	le	DET
cœur	cœur	NOUN
de	de	ADP
une	un	DET
sentinelle	sentinelle	NOUN
espagnole	espagnol	ADJ
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
mangea	manger	VERB
.	.	PUNCTsent
Ce	ce	DET
divertissement	divertissement	NOUN
de	de	ADP
bivouac	bivouac	NOUN
est	être	AUX
raconté	raconter	VERB
ailleurs	ailleurs	ADV
(	(	PUNCTclause
Scènes	scène	NOUN
de	de	ADP
la	le	DET
Vie	vie	NOUN
parisienne	parisien	ADJ
)	)	PUNCTclause
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
se	se	PRON
y	y	PRON
trouve	trouver	VERB
sur	sur	ADP
le	le	DET
6	6	NUM
e	e	NOUN
de	de	ADP
ligne	ligne	NOUN
certains	certain	DET
détails	détail	NOUN
qui	qui	PRON
confirment	confirmer	VERB
tout	tout	ADJ
ce	ce	PRON
que	que	PRON
on	on	PRON
en	en	PRON
dit	dire	VERB
ici	ici	ADV
.	.	PUNCTsent
Quoique	quoique	SCONJ
Bianchi	Bianchi	PROPN
fût	être	AUX
le	le	DET
prince	prince	NOUN
des	un	ADP_DET
démons	démon	NOUN
incarnés	incarner	VERB
auxquels	auxquels	ADP_PRON
ce	ce	PRON
régiment	régiment	NOUN
devait	devoir	VERB
sa	son	DET
double	double	ADJ
réputation	réputation	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
cependant	cependant	ADV
cette	ce	DET
espèce	espèce	NOUN
de	de	ADP
honneur	honneur	NOUN
chevaleresque	chevaleresque	ADJ
qui	qui	PRON
,	,	PUNCTclause
à	à	ADP
l'	le	DET
armée	armée	NOUN
,	,	PUNCTclause
fait	faire	VERB
excuser	excuser	VERB
les	le	DET
plus	plus	ADV
grands	grand	ADJ
excès	excès	NOUN
.	.	PUNCTsent
pour tout	pour tout	ADP
dire	dire	VERB
en	en	ADP
un	un	DET
mot	mot	NOUN
,	,	PUNCTclause
il	il	PRON
eût	avoir	AUX
été	être	AUX
,	,	PUNCTclause
dans	dans	ADP
l'autre	l'autre	PRON
siècle	siècle	NOUN
,	,	PUNCTclause
un	un	DET
admirable	admirable	ADJ
flibustier	flibustier	NOUN
.	.	PUNCTsent
Quelques	quelque	DET
jours	jour	NOUN
auparavant	auparavant	ADV
,	,	PUNCTclause
il	il	PRON
se	se	PRON
était	être	AUX
distingué	distinguer	VERB
par	par	ADP
une	un	DET
action	action	NOUN
de	de	ADP
éclat	éclat	NOUN
que	que	SCONJ
le	le	DET
maréchal	maréchal	NOUN
avait	avoir	AUX
voulu	vouloir	VERB
reconnaître	reconnaître	VERB
.	.	PUNCTsent
Bianchi	Bianchi	PROPN
refusa	refuser	VERB
grade	grade	NOUN
,	,	PUNCTclause
pension	pension	NOUN
,	,	PUNCTclause
décoration	décoration	NOUN
nouvelle	nouveau	ADJ
,	,	PUNCTclause
et	et	CCONJ
réclama	réclamer	VERB
pour	pour	ADP
toute	toute	DET
récompense	récompense	NOUN
la	le	DET
faveur	faveur	NOUN
de	de	ADP
monter	monter	VERB
le	le	DET
premier	premier	ADJ
à	à	ADP
l'	le	DET
assaut	assaut	NOUN
de	de	ADP
Tarragone	Tarragone	PROPN
.	.	PUNCTsent
Le	le	DET
maréchal	maréchal	NOUN
accorda	accorder	VERB
la	le	DET
requête	requête	NOUN
et	et	CCONJ
oublia	oublier	VERB
sa	son	DET
