# columns = TERM LEMMA POS
# identifier = balzac1837FC25
# creator = Balzac, Honoré de
# created = 1837
# modified = 1844
# title = La Messe de l’athée. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
Un	un	DET
médecin	médecin	NOUN
à	à	ADP
qui	qui	PRON
la	le	DET
science	science	NOUN
doit	devoir	VERB
une	un	DET
belle	beau	ADJ
théorie	théorie	NOUN
physiologique	physiologique	ADJ
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
,	,	PUNCTclause
jeune	jeune	ADJ
encore	encore	ADV
,	,	PUNCTclause
se	se	PRON
est	être	AUX
placé	placer	VERB
parmi	parmi	ADP
les	le	DET
célébrités	célébrité	NOUN
de	de	ADP
l'	le	DET
École	École	NOUN
de	de	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
centre	centre	NOUN
de	de	ADP
lumières	lumière	NOUN
auquel	auquel	ADP_PRON
les	le	DET
médecins	médecin	NOUN
de	de	ADP
l'	le	DET
Europe	Europe	PROPN
rendent	rendre	VERB
tous	tout	ADJ
hommage	hommage	NOUN
,	,	PUNCTclause
le	le	DET
docteur	docteur	NOUN
Bianchon	Bianchon	PROPN
a	avoir	AUX
longtemps	longtemps	ADV
pratiqué	pratiquer	VERB
la	le	DET
chirurgie	chirurgie	NOUN
avant de	avant de	ADP
se	se	PRON
livrer	livrer	VERB
à	à	ADP
la	le	DET
médecine	médecine	NOUN
.	.	PUNCTsent
Ses	son	DET
premières	premier	ADJ
études	étude	NOUN
furent	être	AUX
dirigées	diriger	VERB
par	par	ADP
un	un	DET
des	un	ADP_DET
plus	plus	ADV
grands	grand	ADJ
chirurgiens	chirurgien	NOUN
français	français	ADJ
,	,	PUNCTclause
par	par	ADP
l'	le	DET
illustre	illustre	ADJ
Desplein	Desplein	PROPN
,	,	PUNCTclause
qui	qui	PRON
passa	passer	VERB
comme	comme	ADP
un	un	DET
météore	météore	NOUN
dans	dans	ADP
la	le	DET
science	science	NOUN
.	.	PUNCTsent
De	de	ADP
l'	le	DET
aveu	aveu	NOUN
de	de	ADP
ses	son	DET
ennemis	ennemi	NOUN
,	,	PUNCTclause
il	il	PRON
enterra	enterrer	VERB
dans	dans	ADP
la	le	DET
tombe	tombe	NOUN
une	un	DET
méthode	méthode	NOUN
intransmissible	intransmissible	ADJ
.	.	PUNCTsent
Comme	comme	ADP
tous	tout	ADJ
les	le	DET
gens	gens	NOUN
de	de	ADP
génie	génie	NOUN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
sans	sans	ADP
héritiers	héritier	NOUN
:	:	PUNCTclause
il	il	PRON
portait	porter	VERB
et	et	CCONJ
emportait	emporter	VERB
tout	tout	ADV
avec	avec	ADP
lui	lui	PRON
.	.	PUNCTsent
La	le	DET
gloire	gloire	NOUN
des	un	ADP_DET
chirurgiens	chirurgien	NOUN
ressemble	ressembler	VERB
à	à	ADP
celle	celle	PRON
des	un	ADP_DET
acteurs	acteur	NOUN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
existent	exister	VERB
que	que	ADV
de	de	ADP
leur	leur	DET
vivant	vivant	NOUN
et	et	CCONJ
dont	dont	PRON
le	le	DET
talent	talent	NOUN
ne	ne	ADV
