# columns = TERM LEMMA POS
# identifier = balzac1832FC11
# creator = Balzac, Honoré de
# created = 1832
# modified = 1842
# title = Madame Firmiani. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
beaucoup de	beaucoup de	DET
récits	récit	NOUN
,	,	PUNCTclause
riches	riche	ADJ
de	de	ADP
situations	situation	NOUN
ou	ou	CCONJ
rendus	rendu	NOUN
dramatiques	dramatique	ADJ
par	par	ADP
les	le	DET
innombrables	innombrable	ADJ
jets	jet	NOUN
du	du	ADP_DET
hasard	hasard	NOUN
,	,	PUNCTclause
emportent	emporter	VERB
avec	avec	ADP
eux	eux	PRON
leurs	leur	DET
propres	propre	ADJ
artifices	artifice	NOUN
et	et	CCONJ
peuvent	pouvoir	VERB
être	être	AUX
racontés	raconter	VERB
artistement	artistement	ADV
ou	ou	CCONJ
simplement	simplement	ADV
par	par	ADP
toutes	tout	ADJ
les	le	DET
lèvres	lèvre	NOUN
,	,	PUNCTclause
sans que	sans que	SCONJ
le	le	DET
sujet	sujet	NOUN
y	y	PRON
perde	perdre	VERB
la	le	DET
plus	plus	ADV
légère	léger	ADJ
de	de	ADP
ses	son	DET
beautés	beauté	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
il	il	PRON
est	être	AUX
quelques	quelque	DET
aventures	aventure	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
humaine	humain	ADJ
auxquelles	auxquelles	ADP_PRON
les	le	DET
accents	accent	NOUN
du	du	ADP_DET
cœur	cœur	NOUN
seuls	seul	ADJ
rendent	rendre	VERB
la	le	DET
vie	vie	NOUN
,	,	PUNCTclause
il	il	PRON
est	être	AUX
certains	certain	DET
détails	détail	NOUN
pour	pour	ADP
ainsi	ainsi	ADV
dire	dire	VERB
anatomiques	anatomique	ADJ
dont	dont	PRON
les	le	DET
délicatesses	délicatesse	NOUN
ne	ne	ADV
reparaissent	reparaître	VERB
que	que	ADV
sous	sous	ADP
les	le	DET
infusions	infusion	NOUN
les	le	DET
plus	plus	ADV
