# columns = TERM LEMMA POS
# identifier = balzac1830FC12
# creator = Balzac, Honoré de
# created = 1830
# modified = 1842
# title = Étude de femme. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
La	le	DET
marquise	marquis	NOUN
de	de	ADP
Listomère	Listomère	PROPN
est	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
jeunes	jeune	ADJ
femmes	femme	NOUN
élevées	élever	VERB
dans	dans	ADP
l'	le	DET
esprit	esprit	NOUN
de	de	ADP
la	le	DET
Restauration	restauration	NOUN
.	.	PUNCTsent
Elle	elle	PRON
a	avoir	VERB
des	un	DET
principes	principe	NOUN
,	,	PUNCTclause
elle	elle	PRON
fait	faire	VERB
maigre	maigre	NOUN
,	,	PUNCTclause
elle	elle	PRON
communie	communier	VERB
,	,	PUNCTclause
et	et	CCONJ
va	aller	VERB
très-parée	très-parée	PUNCT
au	au	ADP_DET
bal	bal	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
Bouffons	Bouffons	PROPN
,	,	PUNCTclause
à	à	ADP
l'	le	DET
Opéra	Opéra	PROPN
;	;	PUNCTclause
son	son	DET
directeur	directeur	NOUN
lui	lui	PRON
permet	permettre	VERB
de	de	ADP
allier	allier	VERB
le	le	DET
profane	profane	NOUN
et	et	CCONJ
le	le	DET
sacré	sacré	NOUN
.	.	PUNCTsent
Toujours	toujours	ADV
en	en	ADP
règle	règle	NOUN
avec	avec	ADP
l'	le	DET
église	église	NOUN
et	et	CCONJ
avec	avec	ADP
le	le	DET
monde	monde	NOUN
,	,	PUNCTclause
elle	elle	PRON
offre	offrir	VERB
une	un	DET
image	image	NOUN
du	du	ADP_DET
temps	temps	NOUN
présent	présent	ADJ
,	,	PUNCTclause
qui	qui	PRON
semble	sembler	VERB
avoir	avoir	AUX
pris	prendre	VERB
le	le	DET
mot	mot	NOUN
de	de	ADP
Légalité	légalité	NOUN
pour	pour	ADP
épigraphe	épigraphe	NOUN
.	.	PUNCTsent
La	le	DET
conduite	conduite	NOUN
de	de	ADP
la	le	DET
marquise	marquis	NOUN
comporte	comporter	VERB
précisément	précisément	ADV
assez	assez	ADV
de	de	ADP
dévotion	dévotion	NOUN
pour	pour	ADP
pouvoir	pouvoir	VERB
arriver	arriver	VERB
sous	sous	ADP
une	un	DET
nouvelle	nouveau	ADJ
Maintenon	Maintenon	PROPN
à	à	ADP
la	le	DET
sombre	sombre	ADJ
piété	piété	NOUN
des	un	ADP_DET
derniers	dernier	ADJ
jours	jour	NOUN
de	de	ADP
Louis	Louis	PROPN
XIV	XIV	NUM
,	,	PUNCTclause
et	et	CCONJ
assez	assez	ADV
de	de	ADP
mondanité	mondanité	NOUN
pour	pour	ADP
adopter	adopter	VERB
également	également	ADV
les	le	DET
mœurs	mœurs	NOUN
galantes	galant	ADJ
des	un	ADP_DET
premiers	premier	ADJ
jours	jour	NOUN
de	de	ADP
ce	ce	DET
règne	règne	NOUN
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
revenait	revenir	VERB
.	.	PUNCTsent
En	en	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
elle	elle	PRON
est	être	AUX
vertueuse	vertueux	ADJ
par	par	ADP
calcul	calcul	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
par	par	ADP
goût	goût	NOUN
peut-être	peut-être	ADV
.	.	PUNCTsent
Mariée	marier	VERB
depuis	depuis	ADP
sept	sept	NUM
ans	an	NOUN
au	au	ADP_DET
marquis	marquis	NOUN
de	de	ADP
Listomère	Listomère	PROPN
,	,	PUNCTclause
un	un	PRON
de	de	ADP
ces	ce	DET
députés	député	NOUN
qui	qui	PRON
attendent	attendre	VERB
la	le	DET
pairie	pairie	NOUN
,	,	PUNCTclause
elle	elle	PRON
croit	croire	VERB
peut-être	peut-être	ADV
aussi	aussi	ADV
servir	servir	VERB
par	par	ADP
sa	son	DET
conduite	conduite	NOUN
l'	le	DET
ambition	ambition	NOUN
de	de	ADP
sa	son	DET
famille	famille	NOUN
.	.	PUNCTsent
Quelques	quelque	DET
femmes	femme	NOUN
attendent	attendre	VERB
pour	pour	ADP
la	le	DET
juger	juger	VERB
le	le	DET
moment	moment	NOUN
où	où	PRON
monsieur	monsieur	NOUN
de	de	ADP
Listomère	Listomère	PROPN
sera	être	AUX
pair	pair	ADJ
de	de	ADP
France	France	PROPN
,	,	PUNCTclause
et	et	CCONJ
où	où	PRON
elle	elle	PRON
aura	avoir	VERB
trente-six	trente-six	NUM
ans	an	NOUN
,	,	PUNCTclause
époque	époque	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
où	où	PRON
la plupart	la plupart	PRON
des	un	DET
femmes	femme	NOUN
se	se	PRON
aperçoivent	apercevoir	VERB
que	que	SCONJ
elles	elles	PRON
sont	être	AUX
dupes	dupe	ADJ
des	un	ADP_DET
lois	loi	NOUN
sociales	social	ADJ
.	.	PUNCTsent
Le	le	DET
marquis	marquis	NOUN
est	être	AUX
